id,meeting_id,contact_id,email,name,position_title,attended,created_at,updated_at
1,1,2.0,steve@traxidy.com,Steve Sammy,Project Manager,0,2021-11-23 05:17:32,2021-11-23 05:17:32
2,1,3.0,richard_austin@rogers.com,Richard Austin,Boffin,0,2021-11-23 05:17:32,2021-11-23 05:17:32
3,2,2.0,steve@traxidy.com,Steve Sammy,Project Manager,0,2021-11-23 05:17:32,2021-11-23 05:17:32
4,2,3.0,richard_austin@rogers.com,Richard Austin,Boffin,0,2021-11-23 05:17:32,2021-11-23 05:17:32
5,3,2.0,steve@traxidy.com,Steve Sammy,Project Manager,0,2021-11-23 05:17:32,2021-11-23 05:17:32
6,3,3.0,richard_austin@rogers.com,Richard Austin,Boffin,0,2021-11-23 05:17:32,2021-11-23 05:17:32
7,4,2.0,steve@traxidy.com,Steve Sammy,Project Manager,0,2021-11-23 05:17:32,2021-11-23 05:17:32
8,4,3.0,richard_austin@rogers.com,Richard Austin,Boffin,0,2021-11-23 05:17:32,2021-11-23 05:17:32
9,5,2.0,steve@traxidy.com,Steve Sammy,Project Manager,0,2021-11-23 05:17:32,2021-11-23 05:17:32
10,5,3.0,richard_austin@rogers.com,Richard Austin,Boffin,0,2021-11-23 05:17:32,2021-11-23 05:17:32
11,6,1.0,JW@rogattnet.au,Janice Wong,Director,0,2021-12-01 11:42:00,2021-12-01 11:42:00
12,6,13.0,steve@traxidy.com,Steve Sammy,Manager,0,2021-12-01 11:42:00,2021-12-01 11:42:00
13,7,1.0,JW@rogattnet.au,Janice Wong,Director,0,2021-12-01 11:42:00,2021-12-01 11:42:00
14,7,13.0,steve@traxidy.com,Steve Sammy,Manager,0,2021-12-01 11:42:00,2021-12-01 11:42:00
15,8,1.0,JW@rogattnet.au,Janice Wong,Director,0,2021-12-01 11:42:00,2021-12-01 11:42:00
16,8,13.0,steve@traxidy.com,Steve Sammy,Manager,0,2021-12-01 11:42:00,2021-12-01 11:42:00
19,10,1.0,JW@rogattnet.au,Janice Wong,Director,0,2021-12-01 11:42:00,2021-12-01 11:42:00
20,10,13.0,steve@traxidy.com,Steve Sammy,Manager,0,2021-12-01 11:42:00,2021-12-01 11:42:00
21,11,15.0,cliff@capstick.ca,Cliff Ma,,0,2022-01-12 06:07:26,2022-01-12 06:07:26
22,12,21.0,michael.mcneill@dot.ohio.gov,Mike McNeil,Manager,1,2022-01-13 04:23:27,2022-01-13 04:26:02
23,13,21.0,michael.mcneill@dot.ohio.gov,Mike McNeil,Manager,0,2022-01-13 04:23:27,2022-01-13 04:23:27
24,14,21.0,michael.mcneill@dot.ohio.gov,Mike McNeil,Manager,0,2022-01-13 04:23:27,2022-01-13 04:23:27
25,15,21.0,michael.mcneill@dot.ohio.gov,Mike McNeil,Manager,0,2022-01-13 04:23:27,2022-01-13 04:23:27
26,16,21.0,michael.mcneill@dot.ohio.gov,Mike McNeil,Manager,0,2022-01-13 04:23:27,2022-01-13 04:23:27
27,17,22.0,mimimcbroom22@gmail.com,jk keay,,0,2022-01-13 15:22:32,2022-01-13 15:22:32
28,18,31.0,alex.ariza@ibigroup.com,Alex Ariza,ATMS Manager,0,2022-01-14 12:52:54,2022-01-14 12:52:54
29,19,37.0,alex.ariza@ibigroup.com,Alex Ariza,ATMS Manager,0,2022-01-18 10:17:39,2022-01-18 10:17:39
30,19,38.0,mitchel.mcbroom@gmail.com,Mitchel McBroom,ATMS Maintenance & Config,0,2022-01-18 10:17:39,2022-01-18 10:17:39
31,20,38.0,mitchel.mcbroom@gmail.com,Mitchel McBroom,ATMS Maintenance & Config,0,2022-01-18 10:23:38,2022-01-18 10:23:38
38,23,1.0,JW@rogattnet.au,Janice Wong,Director,0,2022-01-23 04:25:23,2022-01-23 04:25:23
