meeting_id,project_id,project_name,meeting_type_id,meeting_type,meeting_date,meeting_minutes,attendee_contact_id,attendee_name,meeting_time
1,3,"Software Development",1,"Project Team","2021-11-23 10:17:32",NULL,2,"Steve Sammy",NULL
1,3,"Software Development",1,"Project Team","2021-11-23 10:17:32",NULL,3,"Richard Austin",NULL
2,3,"Software Development",1,"Project Team","2021-11-23 10:17:32",NULL,2,"Steve Sammy",NULL
2,3,"Software Development",1,"Project Team","2021-11-23 10:17:32",NULL,3,"Richard Austin",NULL
3,3,"Software Development",1,"Project Team","2021-11-23 10:17:32",NULL,2,"Steve Sammy",NULL
3,3,"Software Development",1,"Project Team","2021-11-23 10:17:32",NULL,3,"Richard Austin",NULL
4,3,"Software Development",1,"Project Team","2021-11-23 10:17:32",NULL,2,"Steve Sammy",NULL
4,3,"Software Development",1,"Project Team","2021-11-23 10:17:32",NULL,3,"Richard Austin",NULL
5,3,"Software Development",1,"Project Team","2021-11-23 10:17:32",NULL,2,"Steve Sammy",NULL
5,3,"Software Development",1,"Project Team","2021-11-23 10:17:32",NULL,3,"Richard Austin",NULL
6,2,"Virtual Desk Top Install",2,"Steering Committee","2021-12-01 16:42:00",NULL,1,"Janice Wong",NULL
6,2,"Virtual Desk Top Install",2,"Steering Committee","2021-12-01 16:42:00",NULL,13,"Janice Keay",NULL
7,2,"Virtual Desk Top Install",2,"Steering Committee","2021-12-01 16:42:00",NULL,1,"Janice Wong",NULL
7,2,"Virtual Desk Top Install",2,"Steering Committee","2021-12-01 16:42:00",NULL,13,"Janice Keay",NULL
8,2,"Virtual Desk Top Install",2,"Steering Committee","2021-12-01 16:42:00",NULL,1,"Janice Wong",NULL
8,2,"Virtual Desk Top Install",2,"Steering Committee","2021-12-01 16:42:00",NULL,13,"Janice Keay",NULL
10,2,"Virtual Desk Top Install",2,"Steering Committee","2021-12-01 16:42:00",NULL,1,"Janice Wong",NULL
10,2,"Virtual Desk Top Install",2,"Steering Committee","2021-12-01 16:42:00",NULL,13,"Janice Keay",NULL
11,7,"VOIP RFP",1,"Project Team","2022-01-12 11:07:26",NULL,15,"Wrong Email","2022-01-12 11:00:00"
